GeneName	Responder1	Responder2	Responder3	Responder4	NonResponder1	NonResponder2	NonResponder3	NonResponder4
BATF	1.9522982	6.1447206	0.25850105	-0.040821075	0.040821075	-5.7773876	-0.75334644	-5.0524797
BATF2	0.9349277	-1.43554	1.304157	1.1530073	1.0224864	-0.9349277	-2.5227664	-4.5362816
BATF3	1.115408	3.8728437	-4.942056	-3.4917202	1.117044	-0.024324894	-0.7511511	0.024324894
BAX	-0.06118107	1.605411	0.06118107	1.1420631	-0.7006626	-0.81901073	-1.1079354	0.54306126
BAZ1A	-1.1607077	0.89966226	0.03398204	0.23220134	-0.037686586	-0.24408937	-0.03398204	0.9878385
BAZ1B	-0.9977603	-0.22639799	0.21682835	0.14462948	0.609251	0.075746536	-0.3042655	-0.075746536
BAZ2A	0.07458687	1.6811657	-0.29598188	0.13618994	-0.07458687	-0.6600809	-0.27865934	0.71777534
BAZ2B	-0.12793899	-0.59946704	0.80895066	0.69710374	-0.5804527	-0.3458283	0.12793899	0.70025516
BBC3	-0.48840427	0.7600446	1.7488403	2.3962975	-0.64931107	-0.6070223	-1.6352763	0.48840427
BBOX1	-0.7946856	0.7946856	-3.5561507	-2.8631675	2.8493402	3.6848514	2.2494557	-2.6176236
BBS1	0.31227088	-0.07096505	0.447119	-0.22884536	0.30669045	-0.120494604	0.07096505	-0.14494967
BBS10	0.5769756	0.44666505	-0.38527846	-0.9505422	0.42422032	0.1467855	-0.1467855	-0.3994329
BBS12	0.12779903	-0.18346786	0.75361395	0.33662033	-0.12779903	0.9915128	-1.0059972	-0.8637171
BBS2	-0.5309777	-1.8367071	0.36330748	0.26807356	0.12419653	-0.12419653	-0.64897346	0.2953496
BBS4	-0.044081926	0.4417255	0.044081926	0.52044415	-0.7120087	-0.20834374	-0.35718942	0.16658902
BBS5	-1.101053	0.005641699	-0.005641699	0.12557435	-0.27122664	-0.015384436	1.2333124	3.0995657
BBS7	0.7690346	1.9679163	-0.41716838	-0.12178922	0.12178922	0.17068553	-0.7570493	-0.8589742
BBS9	0.45949483	0.2644689	0.4692452	-0.7449844	-0.2644689	-0.3095982	-0.49540734	0.34066558
BBX	-0.06420612	-0.33724642	-0.038409233	0.038409233	1.430541	0.93520355	-0.3979106	0.77150154
BC012881	0.02720952	1.20415	-0.38180995	-0.7201507	-0.02720952	0.715636	-0.21950936	0.6732471
BC015720	4.2869515	3.6843557	-0.78104496	-0.15049458	-0.66127014	-0.4238739	0.19914722	0.15049458
BC021857	-1.2727652	0.26667595	0.21947765	0.6038413	-2.1848016	-2.3404746	0.190382	-0.190382
BC024732	1.7233896	3.063992	0.86822176	-0.013003826	-0.9204464	-0.79342747	0.013004303	-0.03015232
BC029465	0.5554576	2.2492676	1.4268279	1.8964896	-1.2054782	-0.5554576	-1.1644626	-1.2272415
BC029877	1.9199209	3.226438	-0.79232025	-0.25868034	-0.50316525	-0.3312664	0.30119324	0.25868034
BC030617	0.44084334	-0.06454015	0.5607207	1.0920975	0.06454015	-0.48238778	-0.45518184	-1.3186467
BC031250	0.29296064	0.7519212	-0.04075575	-0.1641388	0.7512908	-0.35514736	-0.415308	0.04075575
BC031259	1.0199671	0.9341502	0.330966	0.4876957	-1.8398385	-0.6511836	-0.94791937	-0.330966
BC033643	-0.6899977	0.27315807	-0.29670334	0.11440611	0.41272163	0.7273164	-0.11440611	-1.047215
BC034811	0.87135696	2.3688574	0.93521833	1.9458594	-1.6824765	-1.5127082	-0.87135696	-0.9389653
BC036215	-0.94519687	1.6647055	-0.8563607	-0.90876126	0.03148818	0.3797438	-0.03148818	0.58972573
BC036621	0.44111943	4.200328	2.842797	2.828882	-0.9082806	-0.44111943	-1.0197942	-1.3174579
BC036928	1.548182	2.4084601	-0.40125418	-0.9370184	0.40125465	0.7252116	-0.6626215	-0.59412
BC039426	0.4815681	-1.2638738	0.1385715	0.26061034	-0.1385715	1.046808	-0.8547771	-0.7493627
BC040572	1.8859491	3.1766868	-0.81701183	-0.1846056	-0.06487417	-0.17609787	0.12555599	0.064873695
BC041357	1.7584295	3.2444234	0.17864275	-0.10670948	-0.9130688	-0.76694584	0.04307747	-0.043076992
BC042172	1.5001173	2.858047	0.9290657	0.21752453	-1.1334872	-1.0017056	-0.21752453	-0.2757578
BC043411	0.020002127	0.7787235	3.4366267	2.3454134	-1.0683253	-0.5474036	-0.020002127	-0.59095454
BC044655	2.7104197	5.1246433	-0.8669944	0.8669944	-2.6396189	-2.4454455	-1.7024398	1.3640151
BC066548	1.8104982	3.2214928	0.22688293	-0.33105135	-0.8293724	-0.6393547	0.017228603	-0.017228603
BC070327	-0.47478485	1.0824742	0.2573595	0.34079456	-0.13840294	-0.011668205	0.011668682	-0.2896862
BC092439	-1.1360974	0.2311163	0.09763384	-0.09763384	1.213284	0.6266198	-0.7622309	-0.57609415
BC104424	1.182209	2.4475694	-1.6920547	1.544671	-1.4235945	-0.049485683	-0.45989227	0.049485207
BC142949	1.9304261	3.306579	-0.8928766	-0.20907593	-0.73176384	-0.5969267	0.20907593	2.7306118
BC157867	1.8931718	3.498324	-0.21359491	-0.126163	-0.70716476	-0.49410915	0.1595459	0.12616348
BCAM	0.03870225	0.2209003	-3.266022	-3.260121	2.3793643	2.2538903	-0.8860495	-0.03870225
BCAN	1.7871604	3.237916	-1.0420713	-0.37895632	-0.45946836	0.14164495	0.036690712	-0.036690712
BCAP29	0.22606087	-0.22606087	-0.3218155	0.97293377	-0.9128394	-1.3706288	0.440351	0.4388485
BCAP31	-0.46726322	-1.108232	-0.54943466	-0.24319935	1.2460012	1.5911617	0.24319983	0.49621868
BCAR1	-0.14108324	-3.1598558	0.15485811	0.14108324	0.34454775	-0.4390273	-0.15915966	0.9448333
BCAR3	0.07062435	0.3968377	-0.07062435	-0.3511448	0.3952961	-0.32606792	-0.26531744	0.20554638
BCAR4	1.9248681	3.3686523	-0.7723651	-0.13465738	-0.15219545	-0.57026625	0.18764257	0.13465738
BCAS1	1.5652022	-1.5148301	2.245729	2.1797652	-5.068641	-2.3784804	0.8339653	-0.8339653
BCAS2	-0.017246723	0.073311806	-0.54223585	-0.56706476	0.02464056	0.017246723	-0.23038387	0.8430896
BCAS3	-0.45883703	-0.11623669	-0.76481676	-1.519167	0.22732973	0.73626375	0.11623669	0.83487797
BCAS4	-0.94957256	2.2804923	-4.2066483	-3.4799771	0.31212807	0.60274744	-0.31212807	1.9156222
BCAT1	0.9862671	2.9529405	-4.062978	-3.437461	1.6770868	-0.060807228	0.060807228	-0.19523907
BCAT2	-0.52201724	-0.53114533	-1.1577575	-0.21975017	1.1271803	0.887624	0.21975017	1.480695
BCCIP	-0.70285773	0.6972134	-0.24867797	-0.007829428	0.7737038	0.007829428	-0.79854417	0.21533751
BCDIN3D	0.28610015	0.32614207	-0.29372716	-0.006861925	-0.57484174	0.4271524	0.006861925	-0.74241996
BCHE	1.5534008	-0.34215522	-4.0614834	-3.7155159	-0.51795125	1.7309749	2.5696032	0.34215522
BCKDHA	-1.0139163	-0.1503408	-1.6720574	-1.1361096	0.1503408	0.33043265	0.4673226	1.1532629
BCKDHB	-0.16323328	0.8770428	2.0288267	1.943902	-0.1569109	-0.07875681	0.07875681	-0.18117571
BCKDK	-0.37715912	0.06407976	-0.005260468	0.005260468	1.065136	1.2848444	-0.06023264	-0.4596176
BCL10	2.8736916	4.0825977	-0.35574627	0.53411293	-0.47328568	-0.034540176	0.0345397	-0.043136597
BCL11A	-0.16058874	-0.77380276	-0.7286725	-1.4349108	0.16058874	1.4567504	0.78588295	1.3584142
BCL11B	0.76354575	-1.5150907	0.25153136	-0.59467053	-0.40616012	0.94580245	-0.25153136	0.95419
BCL2	2.0298297	2.727443	0.34549308	0.7390268	-1.3162401	-1.7168467	-0.34549308	-0.63102984
BCL2A1	1.0425603	2.8922637	-1.0421717	-1.21927	0.9056165	-0.88737464	-0.5333917	0.5333917
BCL2L1	-0.5199795	-1.0663533	0.6920881	-0.39123344	-0.025214672	0.025214672	0.5056505	0.41437387
BCL2L10	0.9502764	4.3466043	-0.9502764	-1.0785065	-1.6573105	-1.5160823	2.7378812	3.1322584
BCL2L11	0.45101	-0.015850306	-0.38141322	-0.5664737	0.015850306	-0.22609353	0.5347698	0.7459357
BCL2L12	-0.8756385	0.75810814	-0.44231367	0.18105459	0.8806071	0.65499353	-1.069416	-0.18105459
BCL2L13	-0.61257863	0.03700137	-0.03700137	0.05394578	-1.0247371	-0.27093863	0.31070685	0.9155848
BCL2L14	0.87173367	2.3254004	3.133062	2.8145046	-1.5738072	-1.4094582	-0.87173367	-0.9429107
BCL2L15	1.5298734	0.37271118	2.6784472	2.0642028	-1.6166615	-0.91135025	-0.37271118	-0.42334557
BCL2L2	-0.6977198	-0.7187736	0.26778102	0.4426477	-1.1066134	-0.08803201	0.08803201	0.31093
BCL3	-0.34227228	0.6416378	-1.1478381	-0.50795317	0.6271329	0.14739752	0.7456083	-0.14739752
BCL6	-1.2926173	-0.7936034	-0.15512514	-0.67383814	0.54232454	0.15512514	0.5220995	1.4837441
BCL6B	3.5948584	1.8694484	-2.4804637	-1.8580358	-0.3567245	-2.1459053	0.8039038	0.3567245
BCL7A	-1.2856011	2.400907	-0.33011818	-0.21561718	0.81632805	0.21561718	-1.0046654	0.52929306
BCL7B	-0.8542106	-0.33804154	0.2498281	0.83221793	0.21790195	0.36039138	-0.21790195	-0.26434636
BCL7C	-1.2869961	-1.0093029	-0.14047503	0.21611714	0.6266415	0.87087655	-0.116193056	0.116193056
BCL8	1.5307307	2.902741	-1.3206363	-0.6508808	0.26296854	-0.32223606	-0.26296806	0.4286337
BCL9	-0.5065079	-0.46224165	0.48337078	0.7723627	0.3761282	1.2885675	-1.1412139	-0.3761282
BCL9L	-1.1921005	-0.40046597	-0.16271257	0.13074064	0.5162873	0.8562894	-0.13074064	0.18286371
BCLAF1	-0.118774414	0.49417925	0.118774414	1.0449905	-0.1285057	-0.55283356	-0.70585966	0.27198887
BCMO1	1.0539055	2.6112442	0.42598152	-0.42598152	-1.5943236	-1.4085526	0.5265331	-0.46433592
BCO2	-0.54824233	0.9538448	0.33572125	1.3094056	-0.4730184	-0.33572125	0.8749387	-2.5084693
BCOR	-0.15509272	1.1248779	-0.01674223	0.01674223	0.5236211	0.35065794	-0.6122842	-0.4084525
BCORL1	-0.7236686	-0.023190022	0.023190022	-0.26417112	1.1176448	1.4232392	-0.16005754	0.47400665
BCORL2	-0.39005637	0.23173833	-2.0566742	-2.0007312	-0.23173833	0.3084576	0.35659528	0.39052844
BCR	0.015970707	-0.78787756	-0.015970707	2.5071807	-0.7891135	-0.12527895	0.34589672	0.9327388
BCS1L	-0.5252609	0.6039691	-0.005470276	0.005470276	0.08875179	0.017350197	-0.20276499	-0.47743225
BDH1	-0.04411888	-2.346085	1.2297659	1.1884632	-3.1490545	-1.5807724	0.49670362	0.04411888
BDH2	2.2237673	2.7631817	0.83476114	0.41132832	-1.2195687	-1.0984392	-0.41132832	-0.4237857
BDKRB1	0.46385026	0.002293825	-0.94708467	-1.1555984	-0.002293825	1.8937442	2.0371659	-3.222294
BDKRB2	1.8042665	-1.6966476	0.1626687	-0.1626687	-0.34579945	1.1715779	1.9553537	-2.9203668
BDNF	0.3556986	1.985034	-2.4101858	-1.6900487	-0.08401203	0.08401203	-0.1297183	1.8618636
BDNFOS	0.24555087	1.8858259	1.6329572	0.9497025	-1.5657003	-0.24555087	-1.0092466	-1.0536907
BDP1	-0.2112298	0.43535948	0.52389526	0.2064271	0.37885904	-0.2064271	-1.7236233	-0.979372
BE265920	1.0052104	2.311267	-1.6624355	-1.0344181	-1.6135511	-0.034109116	1.9700584	0.034108877
BE300169	1.1071687	1.0108004	-0.5746169	-0.072598934	-0.23171568	0.019073963	0.24499702	-0.019073963
BE468260	0.074058294	1.5436289	-0.8463514	-2.0217216	-0.42691684	0.3080995	0.019234896	-0.019234896
BE561442	0.363914	-0.058661938	0.50761604	0.058661938	-0.9133949	-0.96866083	-0.20817375	0.33253574
BE613848	-0.110853195	1.2886343	1.4846292	0.98128414	-0.55677414	-0.92218256	-1.8281636	0.110853195
BE616696	1.5463872	3.1441774	0.2546649	-0.5509095	-0.5213585	-0.49403286	0.87351155	-0.2546649
BE782190	1.9360843	3.603356	-0.7627125	-0.1458826	-0.70810986	-0.50442076	0.21728706	0.1458826
BE795749	1.152894	2.3844724	-1.646471	-0.9909334	-1.5036755	-0.012568474	0.23487782	0.012567997
BEAN	-0.18288016	1.6882608	-1.1766145	-0.4002607	0.18288016	0.8943298	-1.9276474	0.3650105
BECN1	-0.50841546	-0.059315443	0.56579566	0.7875078	0.059315443	0.44272304	-0.4801166	-0.3031714
BECN1L1	1.7600513	6.083607	-0.60039186	-0.31921816	-0.87562704	0.4303751	0.03123808	-0.03123808
BEGAIN	-1.1896493	-2.0548146	-1.2399461	-0.3921554	1.6338618	1.9871428	0.3921554	0.54908013
BEND2	2.0102706	3.231288	-0.8984208	-0.24065161	-0.69697285	-0.600266	0.28472996	0.24065161
BEND3	0.5438647	-0.5255003	0.72035694	0.48733425	0.006366253	-0.05426216	-1.0111537	-0.006366253
BEND4	2.7277336	3.2040057	-0.93780184	0.21117449	-0.86407757	-0.7100153	0.02200079	-0.022000313
BEND5	0.2400775	2.2487383	-3.5386195	-4.213272	0.2756157	-0.2400775	-1.7854342	0.42012978
BEND6	0.40154743	1.7340193	-2.5754623	-1.9138966	0.6434984	-0.40203667	-0.4015472	2.0324821
BEND7	0.4188025	0.45777822	1.0365283	1.3007362	-0.4563725	-0.4188025	-1.6493995	-2.686948
BEST1	2.150168	3.4282732	-0.7914667	-0.16091585	-0.29303312	-0.4386096	0.30464077	0.16091633
BEST2	-1.5356371	-0.43429017	2.0617697	3.0871565	-1.1499732	-0.35061002	0.35061002	0.4002664
BEST3	1.7179923	3.7166648	-1.1450696	-0.18781519	-0.96393347	0.279675	0.015890598	-0.015890598
BEST4	-0.91403794	-0.007280111	1.6430109	2.1034553	0.007280111	0.2488606	-2.7645967	-2.6229393
BET1	-0.47364235	0.3436656	0.11630058	-0.11630058	0.60557747	0.66529655	-0.685225	-0.31749868
BET1L	0.28914905	0.8282192	-0.010392904	-0.041923285	0.010392904	0.17948604	-0.21561694	-0.19887853
BET3L	1.3317866	2.7833505	-1.4680653	-0.823328	-1.0271387	0.7499504	0.5009558	-0.50095606
BEX1	3.7233677	1.6005235	-2.546091	-1.9235086	7.6749105	7.315325	-1.6005235	-1.6364174
BEX2	0.033726454	-0.033726454	-4.488475	-6.176325	2.6164567	3.4411838	-0.853853	1.4636524
BEX4	0.30473876	-1.467253	-5.494934	-4.9810324	1.8355658	2.2370646	-0.30473876	0.59947896
BEX5	0.41874337	-0.41874337	-4.468049	-3.835057	1.8003123	2.8636324	-1.4692461	1.8186038
BEYLA	1.8637357	3.5045886	-0.4091711	-0.20240879	-0.75995064	-0.07828379	0.129735	0.07828331
BF217859	1.0438819	2.6130867	-1.6790838	-1.0438819	-1.622169	-1.4519067	2.7576222	5.3057942
BF346224	-0.18016458	1.2349303	0.40161824	1.0526936	-1.884124	-1.0498631	-1.8893454	0.18016458
BF355127	-0.7203598	0.5682616	-2.1346488	-2.2489786	-0.16515923	0.16515923	0.31138372	0.25493622
BF515046	-1.5226469	-0.16140938	-1.3231945	0.62762976	-0.36240768	0.25393915	0.4113884	0.16140938
BF733045	-0.32096124	1.8907082	-1.6044886	-2.1431897	-0.15963769	0.5651157	0.15963769	0.82161593
BF846222	2.029304	3.242868	-0.80140305	-0.17921257	-0.54113865	-0.38910294	0.22951984	0.17921257
BF873058	9.00568	1.4574084	-2.7694616	-2.0862331	7.4527044	-2.1467257	5.482145	-1.4574084
BF997934	1.8173609	3.2385573	-0.9988928	0.046192646	-0.81884	-0.60118294	0.020690441	-0.020690918
BFAR	-0.5205908	-0.6231165	0.5205908	2.2158108	1.2356157	0.52999306	-1.1172919	-0.731308
BFSP1	0.27195024	-0.558444	2.7692895	2.3423324	-0.5979667	0.49692583	-0.7917714	-0.27195024
BFSP2	2.2553406	5.402911	-0.85709286	-0.18762875	-0.3511901	-0.5681734	0.22026062	0.18762875
BG003631	1.9074597	3.417932	-0.8146763	-0.1527543	-0.71321106	-0.5387807	0.18290043	0.15275478
BG036557	-0.03738284	-1.6975281	0.5013354	-0.002785444	0.28195405	0.54005075	-0.6354573	0.002785444
BG056597	-1.0758135	0.33152652	-0.6588471	-0.18312573	-0.010370493	0.26893687	0.010370493	0.25054574
BG182298	1.9535699	3.4615998	-0.8340249	-0.17241573	-0.7110462	-0.54643583	0.23023224	0.17241621
BG188151	2.0021787	3.2260437	-0.9156709	-0.22892761	-0.70112085	-0.60330534	0.2799821	0.22892761
BG188960	2.0114903	4.247881	-0.83217525	-0.21922588	-0.7096052	-0.20541191	0.28823853	0.20541191
BG192758	1.9447145	4.412782	-0.7593341	-0.1465702	-0.688602	-0.4952488	0.19084549	0.1465702
BG199549	1.9016123	3.2089934	-0.8937216	-0.20579147	-0.7334223	-0.61534977	0.20579195	0.6312361
BG204542	1.9829321	3.3347688	-0.88637304	-0.1991806	-0.7073221	-0.5784521	0.25518703	0.19918108
BG207573	1.2904692	2.6749587	-1.0428452	-0.8463826	-1.3502855	0.51456285	-0.50340843	0.5034089
BG216262	1.0931635	0.9294205	0.502594	0.8060775	-1.7140837	-0.502594	-2.2239614	-2.3065362
BG250529	-1.9167032	-0.5382018	-0.2998085	-0.69836855	0.3667512	0.61716604	0.2998085	0.428123
BG288911	-1.1597483	0.06742883	3.641915	3.3251216	0.7257817	-0.06742883	-2.879371	-1.6284678
BG483277	-0.037753344	0.68156743	-0.7823212	0.41706824	-0.79675317	-1.0483468	0.037753344	0.5363414
BG569805	8.249825	3.789737	-4.802223	-4.1315956	5.9789095	-4.349927	4.6834354	-3.789737
BG675116	0.49203086	1.7859366	0.17920947	1.0177205	-2.1618779	-0.805917	-0.17920947	-0.3966868
BG774734	-0.16158772	-0.6819129	-1.9124732	-1.6453614	0.16158772	0.7351618	0.40571976	0.33529282
BGLAP	0.08134174	0.081068516	-1.130786	-1.4855771	1.7879944	1.6818085	-0.081068516	-0.32814264
BGN	0.47978616	0.31485438	-2.9415033	-3.1204798	2.2422373	-0.31485438	0.9154222	-2.46819
BHLHA15	0.60086155	2.1198492	-2.0983639	-1.4707899	-1.0612044	0.5547724	0.42824173	-0.42824173
BHLHA9	0.84118414	2.160243	-0.2497549	-0.08410692	-0.49977493	0.084106684	0.31456423	-0.25187683
BHLHB9	-1.1537671	0.04974699	-1.9430642	-1.6825509	1.0130272	1.3333335	-0.04974699	1.3296814
BHLHE22	2.6271706	0.8211751	0.88582134	0.107471466	-3.2330713	-0.107471466	-2.0703115	-2.3639407
BHLHE23	-0.19017053	0.10244107	-0.28793168	-1.4972346	-0.10244107	0.30399776	0.40695405	0.6442697
BHLHE40	-1.6961865	-0.5707588	-0.3545766	0.3545766	0.4729867	0.4406581	0.49153614	-1.2850518
BHLHE41	0.5200355	1.5329897	1.975517	1.5388467	-0.82616735	-5.3244314	-0.5200355	-4.6935387
BHMT	1.7587152	3.330912	-0.9562197	-0.3197298	-0.77674246	0.8000269	0.020085335	-0.020084858
BHMT2	2.0014782	3.2501822	-0.7915149	-0.1412921	-0.6508093	-0.51838255	0.20281696	0.1412921
BI461452	0.28464723	1.7193887	0.50102735	-0.38339353	-0.24638581	-0.7268913	0.24638581	-0.79292464
BI758608	1.6866322	2.9991074	-0.12579155	0.8285165	-0.90181017	-0.77026224	0.045223713	-0.045223713
BI818247	-0.69377255	4.6838703	-0.46421838	-1.5780618	-0.16042018	0.1854918	0.16042018	0.17824864
BI825512	2.0936193	3.3200579	-0.856164	-0.22558498	-0.776279	-0.11906242	0.124911785	0.11906242
BI828816	1.977828	3.19597	-0.8501158	-0.19599438	-0.6362319	-0.52889824	0.1959939	0.64023113
BI833485	1.8578839	3.4135766	-0.52933407	-0.16842508	-0.74676895	-0.102540016	0.12760496	0.102540016
BI911851	1.8778849	3.1722074	-0.816782	-0.11840582	-0.7161064	-0.57375574	0.14193487	0.11840534
BICC1	3.3778043	2.1281247	-3.2328262	6.762791	0.2168169	-1.2696404	-0.26524687	-0.2168169
BICD1	0.5722017	2.141511	-2.1411304	-1.4933829	0.7053609	0.37941885	-1.1475935	-0.37941885
BICD2	-1.8534043	-0.8165295	-2.4593384	-3.0801337	0.8254268	1.3312566	0.8165295	1.1690061
BID	-0.9093399	0.7176585	0.11961174	0.5642204	-0.11961174	-0.20881367	-0.28959608	1.2706118
BIK	-0.66989994	0.108811855	0.47024345	1.0752621	-0.5839596	-0.48682976	-0.108811855	0.72554016
BIN1	0.75476265	-2.1077733	0.38536072	0.9782343	0.7257242	-0.38536072	-0.7592654	-1.2203579
BIN2	2.0843172	2.477426	-1.1246104	-0.26752615	0.9156203	-2.3904133	0.26752615	-1.7737184
BIN3	-0.24890828	0.24890828	1.0557735	1.2372596	-0.34125733	-0.42514157	0.3453381	-0.2633841
BIRC2	-0.12226677	0.30293036	0.18652058	-0.2066822	0.50213146	0.12226677	-0.92974615	-1.0490365
BIRC3	1.7437191	3.8753219	0.30741692	0.36901093	-0.30741692	-2.9345984	-1.6858087	-5.224841
BIRC5	-2.2833724	1.0442247	-0.89844275	0.46536493	0.14453268	-0.0758481	-0.7421255	0.0758481
BIRC6	0.5291059	0.7880571	0.3075106	0.378793	-0.3075106	-0.48162913	-1.0177128	-0.63782334
BIRC7	0.81970143	1.6843755	1.1022675	0.15053868	-0.9283054	-0.15053868	-0.21596694	-0.7227795
BIRC8	1.7389474	3.1349912	4.5052214	-0.37365007	-0.90690184	-0.7658968	0.019972801	-0.019973278
BIVM	0.320163	0.15300393	0.67952085	0.19008565	-0.15300393	-0.7928498	-0.3944533	-0.3623569
BLCAP	-1.5482113	-2.0343387	-0.2745316	-0.4868281	0.6717737	0.8511026	0.2745316	0.6334894
BLID	1.8788743	3.172873	-0.82161903	-0.11098337	-0.7189708	-0.58277893	0.12042618	0.110982895
BLK	3.7353358	7.30618	-0.8576579	-0.17445803	-0.7076235	-0.5931916	1.252193	0.17445803
BLM	-1.1282797	1.3856025	0.16947746	0.50990295	0.21756458	-0.19879484	-1.0356774	-0.16947746
BLMH	-0.5244539	0.25788665	-1.0472505	-0.72903323	0.6863797	-0.25788665	0.7220237	1.726845
BLNK	0.2674036	2.287929	-0.16623974	-0.46483612	-1.0108919	0.16623974	0.82338953	-4.3955913
BLOC1S1	-0.18786001	0.15725994	-0.69837904	-0.034149647	0.034149647	0.121358395	0.50895214	-0.43181562
BLOC1S2	-0.44867396	-0.83100915	-0.32915664	0.15429235	0.34229398	0.91718125	-0.026944399	0.026944399
BLOC1S3	-0.06283212	-0.2084043	-0.2209351	-0.1337893	0.7013881	0.38374972	0.06283212	1.0340059
BLVRA	0.004125118	1.4200573	-1.3507018	-1.904244	-0.004125118	-0.024914265	0.37042522	0.44292307
BLVRB	-0.8123436	-2.982308	-0.5650177	-0.114494324	0.12639618	0.86761093	0.1144948	0.39566517
BLZF1	-0.07557726	-0.12653589	-0.11522627	0.07557726	-0.41291142	0.27387524	0.6388297	0.48349667
BM069901	-0.18123841	1.4410346	-0.016776323	0.9166992	-0.1216352	0.55150104	0.016776323	-0.901808
BM264234	-1.2704234	0.9871726	-0.24144268	-0.6116972	0.11938763	0.002392292	0.022232056	-0.002392292
BM310877	1.9014506	3.4071164	-0.8365669	-0.2169733	-0.7314353	-0.08888006	0.12732315	0.08888054
BM472146	1.9955797	3.390874	-0.80057335	-0.16014528	-0.6462836	-0.45056868	0.19618559	0.16014528
BM477328	1.7353034	5.115087	-0.85779953	-0.23967361	0.30938148	-0.7158942	0.032887936	-0.032888412
BM553298	2.019846	3.3236585	-0.86582565	-0.22389412	-0.6999798	-0.58530617	0.28870392	0.22389364
BM701600	-0.17724133	-0.17223978	-0.78178215	-0.17203903	0.17203903	0.6876898	0.19028902	0.68377686
BM703906	0.84209275	0.10547042	-0.10547042	-0.18347716	1.4327805	1.7639153	-0.4634621	-0.29270387
BM739562	1.8218055	3.1893954	-1.0114145	-0.3560915	-0.82081985	-0.014546394	0.014546394	1.4655876
BM918748	2.0038104	3.220469	-0.87254524	-0.25375843	-0.69193125	-0.6005311	0.2847767	0.25375843
BM925358	1.9433699	3.3561559	-0.7671671	-0.14235401	-0.69040775	-0.531003	0.17742538	0.14235449
BM930849	0.83429146	2.2900424	-1.114574	-1.321579	-0.6104336	0.04630804	0.3045001	-0.046307564
BM973477	-0.6827197	0.18453789	-0.8237419	-0.88507223	-0.18453789	0.39064503	0.4079585	0.7855725
BM977558	-1.5676448	0.3329451	-0.3258121	0.022241354	0.32608533	0.68905616	-0.07847428	-0.022241354
BMF	1.6912496	2.7066867	-1.2042415	-1.5428779	-0.5098407	-0.9327986	0.5098407	1.0907404
BMI1	0.4594221	1.3372073	0.20684576	0.11770296	-0.11770296	-1.2552958	-0.8465061	-1.4152327
BMP1	-2.2522058	-0.09330034	1.1477079	-0.50226116	0.09330034	1.0564923	-0.92173195	0.81143045
BMP10	1.7498059	3.119389	-0.9019942	-0.26688385	-0.896451	1.4699578	0.03262329	-0.032622814
BMP15	1.9413958	3.318614	-0.81599283	-0.14805269	-0.65321684	-0.44212437	0.25901365	0.14805269
BMP2	1.041898	-1.1215203	1.1424878	0.34447408	0.9174788	-0.34447408	-2.0609953	-4.3488035
BMP2K	-0.29435682	2.2136278	0.9431648	0.43195438	-0.09549093	-0.6198144	-0.26930904	0.09549093
BMP3	2.053236	3.1554184	-1.1278768	-0.47919416	-0.9913211	-0.78384066	0.47919416	4.882827
BMP4	2.3259342	0.16805673	4.4329576	3.7507293	-0.16805673	-0.51264024	-1.7828434	-2.8132603
BMP5	5.459007	3.234188	-0.80600214	-0.14828253	-0.7173791	-0.6009803	0.24216413	0.14828253
BMP6	1.9191568	0.37683606	-3.247537	-3.2208369	-0.37683606	-1.5602849	1.0830204	1.486387
BMP7	-1.49121	-4.0768085	-0.43289757	-0.10365677	0.10365677	1.3995914	0.64696455	1.8226109
BMP8A	1.9895139	3.243669	-0.7789407	-0.13382053	-0.65831757	-0.53375053	0.29518604	0.13382053
BMP8B	-2.45E-04	0.7242842	1.1775947	1.252996	-0.6419492	-0.6003995	-0.12622452	2.45E-04
BMPER	2.2812667	3.4684649	-0.79577065	-0.12572479	-0.68988895	-0.49848318	0.1832838	0.12572479
BMPR1A	0.5703428	-0.5094335	-0.110547304	0.22654605	0.110547304	0.21194911	-0.6660006	-1.1429436
BMPR1B	1.9298711	3.576254	-0.7889657	-0.13085604	-0.67942476	-0.46596193	0.1756258	0.13085604
BMPR2	0.73816967	0.82745457	-0.10163307	-1.4365802	0.24024439	-0.151649	-0.14281416	0.10163307
BMS1	-1.6443188	0.016203165	0.11700511	0.030120611	-0.016203165	-0.059001207	0.0819695	-0.15388322
BMS1P1	0.966588	2.305696	1.5805182	0.83348894	-1.2647877	-1.5337029	-0.8334894	-0.86764574
BMS1P4	1.3047395	2.8123498	-0.2830758	0.5969858	-1.2888088	-1.1009483	0.2830763	-0.46787024
BMX	5.141364	2.1233335	0.11456776	-0.25458002	-0.47396803	-0.11456752	0.62360144	-1.0563693
BNC1	-2.3121538	-0.75355864	-5.0110044	-4.35254	3.3882465	2.4759388	1.2318978	0.75355864
BNC2	1.4159179	1.7468886	1.3254161	-0.060181618	-0.30016994	-0.69138575	-0.7652831	0.060181618
BNIP1	-1.0879905	-0.18770051	-0.55176425	0.05798173	0.78356576	0.5333841	-0.05798173	0.1835134
BNIP2	0.12479782	0.16686392	-1.0355272	-0.12479782	0.31303215	0.30615902	-0.748404	-0.4315958
BNIP3	-0.06618309	-0.05013132	-5.082239	-5.448351	3.7431936	3.1899157	0.05013132	1.908802
